	GC11	GC76	GC55	GC5	GC36	GC62	GC48	GC88	GC105	GC104	GC9	GC16	GC53	GC91	GC29	GC98	GC45	GC17	GC85	GC13	GC51	GC49	GC2	GC34	GC94	GC90	GC103	GC75	GC56	GC7	GC19	GC27	GC93	GC87	GC28	GC46	GC14	GC44	GC73	GC97	GC39	GC102	GC31	GC42	GC24	GC83	GC84	GC57	GC12	GC20	GC89	GC71	GC109	GC4	GC107	GC21	GC38	GC64	GC3	GC6	GC22	GC43	GC1	GC110	GC72	GC58	GC26	GC100	GC35	GC183R	GC54	GC70	GC106	GC77	GC82
GC9	0.654664918942	0.627022567206	0.661060763137	0.621434321551	0.631672660317	0.659493296432	0.671511945581	0.620539648438	0.744417798593	0.772291677403	0.0	0.645336366395	0.669800439716	0.646133107247	0.66830980132	0.667748709845	0.623576352501	0.669671918011	0.647616094043	0.662951175659	0.643220060341	0.662430131151	0.617466895047	0.642851184475	0.633609001452	0.672192001363	0.727464582154	0.667515228133	0.62612593662	0.658845674152	0.621628835581	0.639134562455	0.655863844472	0.648593069207	0.668819982974	0.686494061904	0.624268914432	0.64387296923	0.687152118284	0.660217622776	0.641361472846	0.733949820477	0.646404290331	0.65614947976	0.658362113226	0.607272468789	0.615677720218	0.626125460459	0.629190091441	0.660648686062	0.677008404148	0.650349599035	0.728815315449	0.67921256382	0.730325161403	0.650651636648	0.642252705721	0.618101775886	0.666045264562	0.67949553877	0.658599582559	0.64356245735	0.630113854158	0.73518969058	0.633746373046	0.660775153482	0.621672948967	0.636169899008	0.643343212792	0.85814986954	0.60541752252	0.74642982957	0.748022719387	0.640750378648	0.644791702855
GC16	0.645778199282	0.62994920423	0.602182659947	0.600530008993	0.626649478924	0.633262771463	0.647432149126	0.635645832134	0.700349086442	0.727912467048	0.645336366395	0.0	0.651497148856	0.597194540475	0.62254146527	0.646826366959	0.615507122183	0.659459498331	0.614778004547	0.644854263092	0.612921913189	0.633836342771	0.602015067803	0.636578782416	0.636305399268	0.634941491373	0.691863581317	0.677768076096	0.611520667601	0.606159167602	0.595835785267	0.627658655646	0.628343601114	0.65282622527	0.637560080683	0.738438743374	0.577343495027	0.608175221571	0.655260646	0.660963381942	0.626035109462	0.699447236488	0.601738423209	0.616802245248	0.663655899354	0.612032991168	0.62267805823	0.660879102097	0.614861256915	0.645570658781	0.703706501552	0.627344934244	0.697687144383	0.651708177975	0.697001051999	0.646829247333	0.641840365347	0.632132944834	0.628206222304	0.62927907627	0.643973600725	0.638239557547	0.634114819971	0.701716530044	0.617828130513	0.642431491579	0.633350147877	0.612011212161	0.618580777989	0.898551779222	0.641334503796	0.748367774516	0.706850510359	0.626704579647	0.61461328302
GC53	0.601148921434	0.615434442428	0.64296823697	0.602512267988	0.600095231937	0.621152931663	0.58907000971	0.665091934726	0.774394089956	0.784664549281	0.669800439716	0.651497148856	0.0	0.667875927881	0.584349958777	0.594862156874	0.610818144366	0.590133359061	0.665551978818	0.659311324438	0.619073643474	0.575913344699	0.674724040745	0.627512638076	0.653049557329	0.567632063332	0.781345338276	0.710918777852	0.652267603592	0.593616319324	0.640802962901	0.616940745349	0.603491702621	0.580148001213	0.600556333198	0.672403139294	0.633584973548	0.584609314433	0.57882913745	0.622744857987	0.588117493445	0.781331569583	0.589593010337	0.594990965658	0.623244911369	0.675531237194	0.694410733788	0.632185710556	0.637123313616	0.616932886795	0.611360969524	0.607972966842	0.75837887928	0.572442484515	0.766052821934	0.590999752489	0.624849662219	0.703702249139	0.572799314217	0.584576381393	0.559920273328	0.553781232308	0.637073136317	0.781454654726	0.594697164301	0.614984953426	0.591222621464	0.596152155757	0.59555943055	0.853012287769	0.607817623854	0.739633066382	0.788454864891	0.587828412712	0.653965492743
GC91	0.673506741489	0.637999300372	0.619766280679	0.621495555116	0.652778613371	0.641128816141	0.683648195602	0.631519608037	0.702950994357	0.737121145321	0.646133107247	0.597194540475	0.667875927881	0.0	0.633772706312	0.673725023206	0.625164330173	0.676851866804	0.590742075711	0.655372438705	0.645419927542	0.649290631397	0.610870926093	0.641586596979	0.62337904534	0.6363554162	0.688382169822	0.688065196827	0.625841132044	0.620075404415	0.614409030261	0.650262548907	0.674485529592	0.664477522197	0.627099243101	0.757688322297	0.606415617875	0.619923076533	0.649846692402	0.673998778115	0.63101257713	0.696969740749	0.613757021922	0.626122115884	0.670816123883	0.597436586331	0.621649708736	0.659147211625	0.616505396754	0.657185279251	0.704525790692	0.678018331954	0.701369114242	0.664699126912	0.716660933087	0.657730318808	0.653783186874	0.632204532313	0.661184103564	0.655976707858	0.699333708081	0.674956727805	0.641678957236	0.704411180915	0.629305637261	0.681901822782	0.631953458026	0.650395983728	0.643393973019	0.900150791692	0.608114567453	0.76603126389	0.714335820341	0.649081846586	0.617044434785
GC29	0.602872201574	0.606385843219	0.624799996065	0.578792688872	0.583507138832	0.616015899634	0.597840921248	0.632743795242	0.738132406896	0.750653959586	0.66830980132	0.62254146527	0.584349958777	0.633772706312	0.0	0.600536094163	0.595377418662	0.615569171005	0.637871869314	0.646588028112	0.608285901414	0.604319657306	0.642755782507	0.585380942805	0.610781194392	0.604169374353	0.74452031582	0.713487214917	0.62578116263	0.56816699924	0.62003670436	0.632815588151	0.600966717637	0.617759089871	0.61031439075	0.724852290648	0.624699079072	0.593096028573	0.602976483086	0.579688710864	0.586579206869	0.762984391982	0.56858498151	0.580000403321	0.633640670394	0.646615633603	0.65246921204	0.653951736831	0.619507119384	0.597875072683	0.660191282067	0.575359533213	0.738315846673	0.564341533183	0.745184453025	0.617636992364	0.630719587011	0.675927330065	0.596554256833	0.548963388237	0.594946254911	0.582032343963	0.648977618972	0.752034538993	0.606926171721	0.614083771879	0.59466851346	0.613996045866	0.590815203269	0.875855018788	0.582291100437	0.736731488074	0.754357787591	0.574050829675	0.638117903236
GC98	0.599476029349	0.612936214434	0.646472075824	0.582315389218	0.607393468603	0.611957934641	0.553626840027	0.60628115146	0.780443891888	0.804913073208	0.667748709845	0.646826366959	0.594862156874	0.673725023206	0.600536094163	0.0	0.615757994714	0.61752843875	0.670045872779	0.637340297797	0.616417580293	0.593001390526	0.655304904443	0.586123896326	0.641686652601	0.611479542326	0.79124437272	0.672167629701	0.644935026777	0.61982091269	0.639958618885	0.619558385278	0.609767692901	0.600210245433	0.59168290837	0.685043075259	0.640908278766	0.606761749555	0.565144875024	0.596749802297	0.615957490973	0.789998623751	0.600399161871	0.578260305607	0.649626785495	0.652204109405	0.686278064278	0.666968388523	0.664158971662	0.636517818544	0.61352860353	0.569127168535	0.762974352946	0.603990282245	0.790809327167	0.576628371035	0.614626931911	0.694707933755	0.582167122615	0.561867355873	0.575339536939	0.608623198492	0.614392723397	0.778968738557	0.628499476373	0.612244132768	0.591544290918	0.583846239241	0.590160542784	0.850800311122	0.608478533376	0.70108526039	0.80325659706	0.568923211753	0.640709531021
GC45	0.588234802245	0.568803257067	0.597447940764	0.572142373897	0.565965838502	0.58155497028	0.594016006729	0.624339058738	0.714415537151	0.729727662786	0.623576352501	0.615507122183	0.610818144366	0.625164330173	0.595377418662	0.615757994714	0.0	0.593572264424	0.616443800564	0.635554421935	0.54846042503	0.595302121839	0.585643770405	0.557844972985	0.58085236711	0.60290586692	0.725865325615	0.666536831084	0.581930763167	0.58024112453	0.593180856759	0.597927901347	0.593391414255	0.5988007827	0.585171747161	0.713935098459	0.555377913437	0.581098521217	0.588796066558	0.590493163256	0.587673857824	0.721901396211	0.547023465948	0.600233512385	0.612802208262	0.584094166465	0.590700227949	0.652113604828	0.619995237936	0.58884842607	0.641409268109	0.604869943113	0.694365256214	0.607005261641	0.711648255758	0.583870478775	0.598872236067	0.61820044142	0.551515280653	0.603364702111	0.586047897104	0.590188579112	0.597209945244	0.732955012994	0.613305889059	0.596687468583	0.603700721174	0.580906605995	0.576948119123	0.878102395052	0.596998974194	0.717771418957	0.727882079398	0.546236152645	0.585890029518
GC17	0.609794578445	0.606117907248	0.63086181281	0.599482681093	0.604067783851	0.580637114941	0.586677673067	0.628285196565	0.76223775978	0.76277106375	0.669671918011	0.659459498331	0.590133359061	0.676851866804	0.615569171005	0.61752843875	0.593572264424	0.0	0.669935383915	0.657028587718	0.623749396415	0.571858825867	0.639264634973	0.594033124185	0.639572618111	0.625590424897	0.764578110046	0.630247693361	0.658078790923	0.609191803539	0.612613062761	0.56662782963	0.619145565622	0.615584146812	0.615625653077	0.668973681173	0.639358875545	0.591946353739	0.569618222698	0.622650623078	0.602527083245	0.761340799463	0.627899554916	0.601671769669	0.597418363121	0.646158579962	0.671377760358	0.64319591142	0.638443365669	0.657971992945	0.61072645106	0.583541443438	0.742677672925	0.601126826335	0.762362545085	0.579978215614	0.596666194515	0.638081689654	0.578801277848	0.613106332161	0.578262438014	0.594665744373	0.625196102774	0.772950396272	0.634044937522	0.625210409473	0.602917632004	0.56180918453	0.59239809128	0.831395428326	0.598228253406	0.675888021905	0.776677243656	0.592990511128	0.631839019682
GC85	0.657576699303	0.638248416287	0.633708860846	0.628442676124	0.638690982911	0.664614378039	0.669957381597	0.642142366474	0.690994852135	0.713412571002	0.647616094043	0.614778004547	0.665551978818	0.590742075711	0.637871869314	0.670045872779	0.616443800564	0.669935383915	0.0	0.658299578438	0.640194099187	0.664366487825	0.610403300976	0.638499870679	0.626549118904	0.658469673222	0.671123888979	0.652723386905	0.610326254239	0.624636031602	0.650275129275	0.64485098331	0.658933694664	0.666524999692	0.650554633967	0.742258792464	0.597143000639	0.625051335952	0.637692437639	0.636384440937	0.64761388594	0.682467926288	0.639908791428	0.64949461695	0.666636791173	0.605830332436	0.598775485392	0.692401035943	0.618550843105	0.67898115556	0.70112645094	0.667121211412	0.67022789877	0.661567335393	0.679978609985	0.657388972471	0.665316559089	0.617737090626	0.634462155775	0.665146454305	0.688170109854	0.65445091694	0.650520305138	0.682934183597	0.642740286719	0.677424212486	0.649686577111	0.628468452354	0.661078365381	0.896998193783	0.632073178253	0.767591417857	0.700047537506	0.648101744063	0.590075388914
GC13	0.640633117017	0.628467764213	0.650217294923	0.616589835865	0.624861425205	0.631735636906	0.63901215629	0.634611168276	0.734488195938	0.762208224896	0.662951175659	0.644854263092	0.659311324438	0.655372438705	0.646588028112	0.637340297797	0.635554421935	0.657028587718	0.658299578438	0.0	0.65618884419	0.637502962176	0.658802147825	0.635017898374	0.627305398292	0.622784650495	0.73969441561	0.652809789423	0.661780882656	0.621597977358	0.621680819988	0.6222041177	0.675151187652	0.643027392161	0.632311384818	0.678260327622	0.650856387758	0.61582283803	0.638370514929	0.647872411975	0.628316487959	0.740826164692	0.621600886152	0.595411809766	0.657683972126	0.66141285444	0.675377226461	0.660819091614	0.644273280507	0.654296772125	0.666040213776	0.610069721799	0.747613484646	0.623794125054	0.7561404919	0.638392444193	0.641270739342	0.671792355926	0.639818968456	0.64352620915	0.620442449672	0.627709172999	0.655042743661	0.763580225921	0.656563051121	0.65309468763	0.635900746856	0.645466200902	0.64479863682	0.844406711713	0.630596487452	0.718859484553	0.75366822705	0.613901555616	0.624695331184
