	GC11	GC76	GC55	GC5	GC36	GC62	GC48	GC88	GC105	GC104	GC9	GC16	GC53	GC91	GC29	GC98	GC45	GC17	GC85	GC13	GC51	GC49	GC2	GC34	GC94	GC90	GC103	GC75	GC56	GC7	GC19	GC27	GC93	GC87	GC28	GC46	GC14	GC44	GC73	GC97	GC39	GC102	GC31	GC42	GC24	GC83	GC84	GC57	GC12	GC20	GC89	GC71	GC109	GC4	GC107	GC21	GC38	GC64	GC3	GC6	GC22	GC43	GC1	GC110	GC72	GC58	GC26	GC100	GC35	GC183R	GC54	GC70	GC106	GC77	GC82
GC9	0.341185231855	0.301036383911	0.311785301067	0.290980491024	0.210853651532	0.21926070316	0.281466279792	0.186573076354	0.397081356	0.39064187283	0.0	0.248082873933	0.313663918756	0.197172837686	0.314544491367	0.360558373599	0.238157957682	0.279227641967	0.267190070606	0.285108394935	0.265372358861	0.252813853468	0.172777995678	0.238428333472	0.20645657759	0.310949074874	0.322838933443	0.315292337133	0.246320752904	0.326924928908	0.216867336694	0.227778097474	0.182926156991	0.299398734666	0.299776785325	0.523766351604	0.215070401801	0.287082755693	0.29214771133	0.300911694375	0.326453528031	0.338130383358	0.218753178777	0.278478332984	0.230952917928	0.240471516984	0.220829307542	0.123005031466	0.260133456802	0.207534450779	0.243761613722	0.308778939247	0.379944311467	0.2328402975	0.360051447793	0.26711896047	0.174529298952	0.175920860038	0.322468101012	0.332250231562	0.278153864345	0.285070254247	0.233673800403	0.328831026105	0.267907067423	0.245507518906	0.234189865446	0.267655517466	0.265452139599	0.50971901121	0.232419987297	0.363894527177	0.355068144978	0.280374591146	0.270071465612
GC16	0.249095622412	0.198016404769	0.167944232111	0.181131532911	0.193250577754	0.180458576951	0.198418816797	0.173252303448	0.351030015449	0.345972317466	0.248082873933	0.0	0.213086181515	0.155260853476	0.198549405126	0.246721434469	0.154029089856	0.191271298518	0.125623345342	0.195431663669	0.164133453553	0.188747635401	0.195492808037	0.161798736463	0.165821704776	0.178339516731	0.28129806401	0.279424965764	0.168786408277	0.193557068926	0.178513880802	0.191568309888	0.211489421141	0.201088148873	0.189814868314	0.512078866182	0.151990421803	0.165011212939	0.215164307002	0.206549495266	0.211879289666	0.295856274205	0.167788188203	0.188787620695	0.240038498145	0.222431445325	0.197346081613	0.253634209585	0.148184403268	0.177106168369	0.241671400866	0.212031713092	0.338136210625	0.179106592781	0.314088312418	0.176603069605	0.205969078182	0.211094174078	0.207699000873	0.200583622792	0.212496100108	0.208378019421	0.179879662649	0.284498383334	0.15922899432	0.206803957209	0.212311040067	0.17181733049	0.164401472926	0.511637973797	0.196601081236	0.353242247807	0.309979669638	0.176663043907	0.177471981482
GC53	0.1981133863	0.144380296819	0.175669274431	0.145119017659	0.205362808267	0.176798742642	0.1342173976	0.221469583433	0.356053569065	0.34793252772	0.313663918756	0.213086181515	0.0	0.280544689112	0.107976698295	0.165334756817	0.163646324845	0.136502041464	0.225198817413	0.149464791173	0.133542536801	0.151799958845	0.276252399914	0.189767453193	0.237501283018	0.184402910226	0.326031293048	0.239603977478	0.203109149075	0.124762317162	0.200087866798	0.202488318063	0.241659647828	0.119172728811	0.144617563303	0.483802057011	0.256680258563	0.125896743467	0.145076136319	0.112700739636	0.164176232258	0.319776536543	0.17343727826	0.141938512958	0.239296655592	0.307057819771	0.317516843264	0.284120212571	0.1561124625	0.189619059203	0.222278569355	0.136503347423	0.347147006491	0.17695611304	0.325543229817	0.225515478275	0.23455921309	0.254441660011	0.156412624258	0.145988579887	0.130074170373	0.145513780627	0.1941964108	0.320616708737	0.134387655943	0.17061008969	0.230999899752	0.145517210591	0.136070808816	0.419450264762	0.209812323313	0.273393238541	0.329709817936	0.12167062742	0.276589867071
GC91	0.308462377006	0.265091243381	0.227205556477	0.257254667044	0.188771549744	0.204138209085	0.258204543069	0.166196682019	0.36669803108	0.364754776092	0.197172837686	0.155260853476	0.280544689112	0.0	0.273881505695	0.320654895154	0.188580666507	0.255795220082	0.186129777947	0.252488677151	0.22887821551	0.23418512359	0.171159216153	0.186776666873	0.182401613991	0.241577757753	0.290581090667	0.311898915281	0.217174955673	0.26719034534	0.189914864359	0.197181675301	0.196256140147	0.264159489324	0.259510353271	0.529139717533	0.146476369612	0.238757694538	0.267751579795	0.265767152942	0.2855778713	0.308012838191	0.191276965411	0.246808174103	0.224469605914	0.189757037832	0.171287459762	0.193023589879	0.215736349082	0.188721868402	0.235516310696	0.276155368691	0.351643083932	0.216782257179	0.328023616853	0.204299032185	0.191027538462	0.179857932659	0.284161516902	0.275072278329	0.269875499329	0.264709738296	0.226817209822	0.299055104794	0.226350322181	0.235818769323	0.220779123927	0.231308042896	0.22969060652	0.530319855385	0.20731907536	0.372924214872	0.321505473193	0.250038869089	0.20025002189
GC29	0.22356388704	0.169453948614	0.185134745506	0.147328437346	0.212840580365	0.196381265716	0.14843111636	0.224293335683	0.329373500236	0.318947493337	0.314544491367	0.198549405126	0.107976698295	0.273881505695	0.0	0.18457636023	0.177703677117	0.165390636336	0.205692807729	0.178878799656	0.153340843284	0.17435785789	0.27648191453	0.205519006085	0.234968549696	0.182017562245	0.311041459693	0.243309207985	0.210725664573	0.112107635293	0.222973193773	0.235913631597	0.245450567192	0.152467960594	0.148739874943	0.499644200773	0.25668291769	0.125762317434	0.175887858426	0.11112186916	0.179185317964	0.3082677179	0.175124610072	0.161233660345	0.259980775684	0.31088525355	0.316484416956	0.293892036179	0.159252113652	0.205519480857	0.254781344378	0.156905218853	0.320583931707	0.178462734868	0.310129526741	0.225824771267	0.245373357972	0.275647839202	0.165449053897	0.129395049846	0.152337083543	0.174291437367	0.203859954402	0.305824287724	0.145651737518	0.199799646436	0.247853124079	0.169151547232	0.142501894931	0.438995183043	0.218558622792	0.296049550264	0.313141074231	0.144035475719	0.273819421082
GC98	0.216686174481	0.122082934951	0.21923021856	0.156106677758	0.251533048475	0.208003042865	0.21137256599	0.276300920687	0.405698414955	0.39785436641	0.360558373599	0.246721434469	0.165334756817	0.320654895154	0.18457636023	0.0	0.229766943159	0.167786591952	0.258474183524	0.159524411664	0.192222127067	0.168077463729	0.327860795561	0.224195296568	0.282399680699	0.150841138157	0.365978167384	0.313467993769	0.267360885366	0.165996121601	0.229215395424	0.235019883085	0.291456347492	0.146317293481	0.189284707211	0.493879273829	0.304752999882	0.195856734146	0.169649804784	0.187249766255	0.191152866343	0.366719017375	0.243914336735	0.139724048305	0.293213324999	0.353501908026	0.36252602453	0.33581701031	0.209357111352	0.237272110425	0.249640373238	0.127223570559	0.401618684908	0.222326344576	0.371066593306	0.244801750977	0.283753988136	0.308948588486	0.149429307852	0.129674203055	0.217316033503	0.202471332231	0.250594852037	0.346249232533	0.174660941393	0.212762490385	0.285153140959	0.164268515421	0.179896644749	0.455136998305	0.262356018844	0.327088709153	0.37979563294	0.146150008882	0.314116017972
GC45	0.22976088436	0.19178025027	0.156233506662	0.183679541477	0.137015185389	0.131727248622	0.142489071987	0.168596107701	0.357812509237	0.354342928962	0.238157957682	0.154029089856	0.163646324845	0.188580666507	0.177703677117	0.229766943159	0.0	0.170070988584	0.17534093722	0.189194048649	0.121061067474	0.149782609948	0.192806270381	0.122348126279	0.140858153748	0.18914590419	0.300724885361	0.255695110333	0.149753664506	0.187781161582	0.160378824508	0.149299853072	0.177559322014	0.168907542217	0.172086967936	0.505115836635	0.159074591272	0.141997545589	0.162849722915	0.164922412915	0.208731037742	0.310299225922	0.110370469652	0.16509084658	0.190111900833	0.232347670496	0.206300454812	0.227116963909	0.162422796192	0.131596181961	0.180952517054	0.180530016131	0.342676893483	0.150372348549	0.325640795792	0.1731190924	0.17261745171	0.19690849484	0.199010808713	0.190149425909	0.16228281779	0.152872482929	0.168481165657	0.300894856532	0.158098583047	0.135118386905	0.207148929935	0.176009195427	0.14954703804	0.467765532435	0.179949423143	0.311472394508	0.323029989219	0.162386021022	0.198049014629
GC17	0.19424966194	0.14318113352	0.194646644534	0.162849185197	0.201402577217	0.131851609415	0.162639861557	0.191599368092	0.387181397397	0.376264381796	0.279227641967	0.191271298518	0.136502041464	0.255795220082	0.165390636336	0.167786591952	0.170070988584	0.0	0.210171055948	0.131641446482	0.14391759521	0.124195708088	0.248759337227	0.167563642306	0.220871937424	0.18850108107	0.336508459804	0.262410754868	0.197299962249	0.175415188905	0.154736815345	0.175229997395	0.221911321048	0.121747450509	0.161005246238	0.472484174174	0.237375785755	0.143632538541	0.111245875876	0.155896919666	0.175255864789	0.343647680132	0.18711284702	0.152922596186	0.211691931932	0.280554715344	0.293165358212	0.246859692719	0.153585440049	0.178693396036	0.16770422565	0.153036564034	0.379247826138	0.169958026436	0.355762391175	0.201794927162	0.205631751592	0.219517430052	0.181440887663	0.183211761575	0.174679388667	0.147934052372	0.174564384061	0.331119775246	0.155292731738	0.155047357689	0.217414955579	0.120248069272	0.141561821852	0.433477710851	0.186813116348	0.268919143183	0.356035482027	0.11935822178	0.253963981048
GC85	0.276642227771	0.226122116051	0.185601363335	0.190138883296	0.22047469709	0.217288335298	0.220546063512	0.205086458331	0.329807250649	0.326218737949	0.267190070606	0.125623345342	0.225198817413	0.186129777947	0.205692807729	0.258474183524	0.17534093722	0.210171055948	0.0	0.220289482929	0.190002219634	0.212957508504	0.234417862136	0.195693991101	0.183105020996	0.201984751447	0.26191820155	0.288026062025	0.17251143561	0.20207627716	0.214599736275	0.22536561512	0.251283607129	0.212433109027	0.211352115883	0.508435830846	0.182097812178	0.179510325574	0.2319827486	0.215846874482	0.235886189572	0.270740843526	0.200537339704	0.199858822363	0.277410006539	0.229612208818	0.223109805149	0.288982010598	0.152910536531	0.215984180934	0.278740783527	0.224714871795	0.314047082824	0.212076591445	0.290977185867	0.203122573447	0.243518386997	0.245013401802	0.215983858512	0.205687993435	0.217555091704	0.235671202312	0.181291751868	0.269608525534	0.172049427773	0.243489070617	0.226549859763	0.195525051962	0.18725245948	0.534721841445	0.221843072315	0.376521447905	0.287854125278	0.201464434082	0.187979985377
GC13	0.212637231237	0.116557277321	0.203777151294	0.151884439571	0.211883309525	0.162083143689	0.191998237311	0.22209035919	0.379732781608	0.376410976364	0.285108394935	0.195431663669	0.149464791173	0.252488677151	0.178878799656	0.159524411664	0.189194048649	0.131641446482	0.220289482929	0.0	0.157928479781	0.142090958989	0.254423777114	0.172877998842	0.222616394262	0.154489305266	0.325731466178	0.282849798549	0.215582631869	0.170532591396	0.177645892406	0.188895274561	0.238537532861	0.145375290596	0.167732955142	0.473959578922	0.241173931075	0.168650425026	0.158561310441	0.16736126583	0.183658620223	0.335760083542	0.201272835693	0.130237972204	0.233137841765	0.290786823866	0.286932020049	0.268544582318	0.159704364117	0.190556400699	0.201675469908	0.139731031406	0.375132745731	0.181616781527	0.351323722617	0.200634519717	0.216385949201	0.228443361992	0.177309416273	0.175055855942	0.186817533987	0.171170167446	0.187778559477	0.321910416566	0.137907677271	0.185628220577	0.226298430515	0.123514401037	0.144567355961	0.457724469545	0.208389910129	0.302579735248	0.347699638733	0.109453502557	0.260926421461
